lsmaccx,lsmaccy,lsmaccz,lsmangx,lsmangy,lsmangz,a0,a1,a2,f1,f2,timestamp
0,0,0,0,0,0,24614,33752,41530,0,0,1685
0,0,0,0,0,0,21077,33224,41514,0,0,1690
0,0,0,0,0,0,20789,32984,41290,0,0,1695
0,0,0,0,0,0,20725,33352,41642,0,1,1700
0,0,0,0,0,0,20709,33096,41466,1,0,1705
0,0,0,0,0,0,20725,32936,41450,0,0,1710
0,0,0,0,0,0,20741,34536,42730,0,1,1715
0,0,0,0,0,0,20853,33096,41594,0,0,1720
0,0,0,0,0,0,20693,33192,41546,0,0,1725
0,0,0,0,0,0,20725,33032,41338,0,0,1730
0,0,0,0,0,0,20629,33144,41674,0,1,1735
0,0,0,0,0,0,20629,33096,41546,1,0,1740
0,0,0,0,0,0,20645,33016,41482,0,0,1745
0,0,0,0,0,0,20677,33848,42122,0,1,1750
0,0,0,0,0,0,20677,33000,41450,0,0,1755
0,0,0,0,0,0,20597,33048,41482,0,0,1760
0,0,0,0,0,0,20581,32840,41258,0,0,1765
0,0,0,0,0,0,20549,33080,41466,1,1,1770
0,0,0,0,0,0,16195,32599,42026,0,0,1783
0,0,0,0,0,0,24614,33928,41546,0,1,1785
0,0,0,0,0,0,21013,33112,41530,0,0,1790
0,0,0,0,0,0,20821,33016,41482,0,0,1795
0,0,0,0,0,0,20597,32535,41642,1,0,1800
0,0,0,0,0,0,20645,33208,41578,0,1,1805
0,0,0,0,0,0,20645,33016,41450,0,0,1810
0,0,0,0,0,0,20613,33016,41498,0,0,1815
0,0,0,0,0,0,20725,33288,41674,0,1,1820
0,0,0,0,0,0,20645,33096,41674,0,0,1825
0,0,0,0,0,0,20597,32984,41482,1,0,1830
0,0,0,0,0,0,20661,33928,42362,0,1,1835
0,0,0,0,0,0,20757,33208,41658,0,0,1840
0,0,0,0,0,0,20629,32920,41514,0,0,1845
0,0,0,0,0,0,20613,33272,41450,0,0,1850
0,0,0,0,0,0,20565,33096,41626,0,1,1855
0,0,0,0,0,0,20565,32856,41402,1,0,1860
0,0,0,0,0,0,20468,32840,41466,0,0,1865
0,0,0,0,0,0,16099,32359,42026,0,1,1878
0,0,0,0,0,0,24533,33656,41450,0,0,1880
0,0,0,0,0,0,20997,33368,41386,1,0,1885
0,0,0,0,0,0,20709,33016,41514,0,1,1890
0,0,0,0,0,0,20597,32856,41450,0,0,1895
0,0,0,0,0,0,20565,33208,41738,0,0,1900
0,0,0,0,0,0,20693,32968,41530,0,1,1905
0,0,0,0,0,0,20533,32872,41450,0,0,1910
0,0,0,0,0,0,20452,32872,41450,1,0,1915
0,0,0,0,0,0,20533,33256,41642,0,1,1920
0,0,0,0,0,0,20565,33064,41546,0,0,1925
0,0,0,0,0,0,20581,32904,41546,0,0,1930
0,0,0,0,0,0,20581,32936,41658,0,0,1935
0,0,0,0,0,0,20452,32936,41594,1,1,1940
0,0,0,0,0,0,20533,32936,41514,0,0,1945
0,0,0,0,0,0,20565,33192,41754,0,0,1950
0,0,0,0,0,0,20581,33048,41610,0,1,1955
0,0,0,0,0,0,20581,33112,41674,0,0,1960
0,0,0,0,0,0,16115,32423,42154,1,1,1973
0,0,0,0,0,0,24549,33768,41658,0,0,1975
0,0,0,0,0,0,21013,33128,41706,0,0,1980
0,0,0,0,0,0,20853,33624,41994,0,0,1985
0,0,0,0,0,0,20645,33000,41546,1,1,1990
0,0,0,0,0,0,20597,32968,41546,0,0,1995
0,0,0,0,0,0,20581,32743,41834,0,0,2000
0,0,0,0,0,0,20661,33128,41706,0,1,2005
0,0,0,0,0,0,20629,33064,41818,0,0,2010
0,0,0,0,0,0,20565,33064,41722,1,0,2015
0,0,0,0,0,0,20629,33032,41642,0,1,2020
0,0,0,0,0,0,20565,33048,41642,0,0,2025
0,0,0,0,0,0,20565,32936,41642,0,0,2030
0,0,0,0,0,0,20677,34008,42314,0,1,2035
0,0,0,0,0,0,20661,33000,41658,1,0,2040
0,0,0,0,0,0,20549,32936,41578,0,0,2045
0,0,0,0,0,0,20597,33384,41674,0,0,2050
0,0,0,0,0,0,20565,33016,41706,0,1,2055
0,0,0,0,0,0,20581,33096,41754,0,0,2060
0,0,0,0,0,0,16067,32551,42266,1,1,2073
0,0,0,0,0,0,24678,33880,41706,0,0,2075
0,0,0,0,0,0,20997,33304,41786,0,0,2080
0,0,0,0,0,0,20853,33416,41834,0,1,2085
0,0,0,0,0,0,20677,33128,41754,1,0,2090
0,0,0,0,0,0,20661,32856,41642,0,0,2095
0,0,0,0,0,0,20677,33960,42330,0,1,2100
0,0,0,0,0,0,20693,33112,41722,0,0,2105
0,0,0,0,0,0,20613,33096,41738,0,0,2110
0,0,0,0,0,0,20597,33384,41866,1,0,2115
0,0,0,0,0,0,20581,33368,41898,0,1,2120
0,0,0,0,0,0,20565,33128,41898,0,0,2125
0,0,0,0,0,0,20565,32792,41578,0,0,2130
0,0,0,0,0,0,20645,33416,41962,0,1,2135
0,0,0,0,0,0,20581,33160,41770,1,0,2140
0,0,0,0,0,0,20565,33320,42058,0,0,2145
0,0,0,0,0,0,20629,33208,41930,0,1,2150
0,0,0,0,0,0,20645,33256,41962,0,0,2155
0,0,0,0,0,0,16099,32391,42314,1,1,2168
0,0,0,0,0,0,24662,33800,41834,0,0,2170
0,0,0,0,0,0,20997,33192,41850,0,0,2175
0,0,0,0,0,0,20837,33832,42186,0,0,2180
0,0,0,0,0,0,20725,33208,41802,1,1,2185
0,0,0,0,0,0,20629,33160,41786,0,0,2190
0,0,0,0,0,0,20597,32952,41546,0,0,2195
0,0,0,0,0,0,20597,33160,41882,0,1,2200
0,0,0,0,0,0,20613,33256,41930,0,0,2205
0,0,0,0,0,0,20565,33320,42026,1,0,2210
0,0,0,0,0,0,20613,33192,41866,0,1,2215
0,0,0,0,0,0,20549,33128,41786,0,0,2220
0,0,0,0,0,0,20597,33192,41866,0,0,2225
0,0,0,0,0,0,20565,33320,41786,1,1,2230
0,0,0,0,0,0,20581,33128,41866,0,0,2235
0,0,0,0,0,0,20565,33096,41802,0,0,2240
0,0,0,0,0,0,20661,34696,43306,0,1,2245
0,0,0,0,0,0,20837,33288,41898,0,0,2250
0,0,0,0,0,0,16115,32423,42234,1,1,2263
0,0,0,0,0,0,24662,33832,41834,0,0,2265
0,0,0,0,0,0,20997,33384,41898,0,0,2270
0,0,0,0,0,0,20741,33512,41866,1,0,2275
0,0,0,0,0,0,20693,33320,41914,0,1,2280
0,0,0,0,0,0,20581,33112,41834,0,0,2285
0,0,0,0,0,0,20597,33096,41834,0,0,2290
0,0,0,0,0,0,20565,33064,41722,1,1,2295
0,0,0,0,0,0,20549,33128,41802,0,0,2300
0,0,0,0,0,0,20565,33064,41770,0,0,2305
0,0,0,0,0,0,20693,34392,42682,0,1,2310
0,0,0,0,0,0,20677,33160,41914,1,0,2315
0,0,0,0,0,0,20565,33144,41898,0,0,2320
0,0,0,0,0,0,20581,33192,41386,0,0,2325
0,0,0,0,0,0,20501,33272,41994,0,1,2330
0,0,0,0,0,0,20501,33032,41834,1,0,2335
0,0,0,0,0,0,20565,33416,42010,0,0,2340
0,0,0,0,0,0,20565,33256,41930,0,1,2345
0,0,0,0,0,0,16099,33288,42538,1,0,2358
0,0,0,0,0,0,24726,33736,41722,0,1,2360
0,0,0,0,0,0,20981,33112,41834,0,0,2365
0,0,0,0,0,0,20821,33192,41882,0,0,2370
0,0,0,0,0,0,20693,34504,43114,1,1,2375
0,0,0,0,0,0,20901,33208,41882,0,0,2380
0,0,0,0,0,0,20613,33240,41882,0,0,2385
0,0,0,0,0,0,20629,33000,41674,0,0,2390
0,0,0,0,0,0,20629,33256,41994,0,1,2395
0,0,0,0,0,0,20549,33096,41930,1,0,2400
0,0,0,0,0,0,20581,33448,42058,0,0,2405
0,0,0,0,0,0,20629,33352,42026,0,1,2410
0,0,0,0,0,0,20629,33208,41946,0,0,2415
0,0,0,0,0,0,20549,33080,41866,1,0,2420
0,0,0,0,0,0,20597,33480,41946,0,1,2425
0,0,0,0,0,0,20613,33208,42042,0,0,2430
0,0,0,0,0,0,20597,33160,41930,0,0,2435
0,0,0,0,0,0,20565,33336,42170,1,0,2440
0,0,0,0,0,0,20549,33160,41866,0,1,2445
0,0,0,0,0,0,16067,32487,42346,1,1,2458
0,0,0,0,0,0,24662,33800,41930,0,0,2460
0,0,0,0,0,0,20965,33304,42042,0,0,2465
0,0,0,0,0,0,20789,33208,41994,0,0,2470
0,0,0,0,0,0,20661,33432,41946,1,1,2475
0,0,0,0,0,0,20613,33192,41914,0,0,2480
